exp_id,exp_letter,repetition,process_type,pid,ppid,sleep_duration,action,log_file
M0,M,0,M,59575,49286,0,other,251.log
B0,B,0,C,59576,59575,0,other,251.log
B0,B,0,C,59576,59575,0,other,251.log
B0,B,0,C,59576,59575,0,other,251.log
B0,B,0,C,59576,59575,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B0,B,0,G,59577,59576,0,other,251.log
B0,B,0,G,59577,59576,0,other,251.log
B0,B,0,G,59577,59576,0,other,251.log
B0,B,0,G,59577,59576,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B1,B,1,C,59578,59575,0,other,251.log
B1,B,1,C,59578,59575,0,other,251.log
B1,B,1,C,59578,59575,0,other,251.log
B1,B,1,C,59578,59575,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B1,B,1,G,59579,59578,0,other,251.log
B1,B,1,G,59579,59578,0,other,251.log
B1,B,1,G,59579,59578,0,other,251.log
B1,B,1,G,59579,1,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B2,B,2,C,59580,59575,0,other,251.log
B2,B,2,C,59580,59575,0,other,251.log
B2,B,2,C,59580,59575,0,other,251.log
B2,B,2,C,59580,59575,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B2,B,2,G,59581,59580,0,other,251.log
B2,B,2,G,59581,59580,0,other,251.log
B2,B,2,G,59581,59580,0,other,251.log
B2,B,2,G,59581,59580,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B3,B,3,C,59582,59575,0,other,251.log
B3,B,3,C,59582,59575,0,other,251.log
B3,B,3,C,59582,59575,0,other,251.log
B3,B,3,C,59582,59575,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B3,B,3,G,59583,59582,0,other,251.log
B3,B,3,G,59583,59582,0,other,251.log
B3,B,3,G,59583,59582,0,other,251.log
B3,B,3,G,59583,59582,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B4,B,4,C,59584,59575,0,other,251.log
B4,B,4,C,59584,59575,0,other,251.log
B4,B,4,C,59584,59575,0,other,251.log
B4,B,4,C,59584,59575,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B4,B,4,G,59585,59584,0,other,251.log
B4,B,4,G,59585,59584,0,other,251.log
B4,B,4,G,59585,59584,0,other,251.log
B4,B,4,G,59585,59584,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B5,B,5,C,59586,59575,0,other,251.log
B5,B,5,C,59586,59575,0,other,251.log
B5,B,5,C,59586,59575,0,other,251.log
B5,B,5,C,59586,59575,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B5,B,5,G,59587,59586,0,other,251.log
B5,B,5,G,59587,59586,0,other,251.log
B5,B,5,G,59587,59586,0,other,251.log
B5,B,5,G,59587,59586,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B6,B,6,C,59588,59575,0,other,251.log
B6,B,6,C,59588,59575,0,other,251.log
B6,B,6,C,59588,59575,0,other,251.log
B6,B,6,C,59588,59575,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B6,B,6,G,59589,59588,0,other,251.log
B6,B,6,G,59589,59588,0,other,251.log
B6,B,6,G,59589,59588,0,other,251.log
B6,B,6,G,59589,59588,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B7,B,7,C,59590,59575,0,other,251.log
B7,B,7,C,59590,59575,0,other,251.log
B7,B,7,C,59590,59575,0,other,251.log
B7,B,7,C,59590,59575,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B7,B,7,G,59591,59590,0,other,251.log
B7,B,7,G,59591,59590,0,other,251.log
B7,B,7,G,59591,59590,0,other,251.log
B7,B,7,G,59591,59590,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B8,B,8,G,59593,59592,0,other,251.log
B8,B,8,G,59593,59592,0,other,251.log
B8,B,8,G,59593,59592,0,other,251.log
B8,B,8,G,59593,59592,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B8,B,8,C,59592,59575,0,other,251.log
B8,B,8,C,59592,59575,0,other,251.log
B8,B,8,C,59592,59575,0,other,251.log
B8,B,8,C,59592,59575,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B9,B,9,C,59594,59575,0,other,251.log
B9,B,9,C,59594,59575,0,other,251.log
B9,B,9,C,59594,59575,0,other,251.log
B9,B,9,C,59594,59575,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
B9,B,9,G,59595,1,0,other,251.log
B9,B,9,G,59595,1,0,other,251.log
B9,B,9,G,59595,1,0,other,251.log
B9,B,9,G,59595,1,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
C0,C,0,G,59597,59596,0,other,251.log
C0,C,0,G,59597,59596,0,other,251.log
C0,C,0,G,59597,59596,0,other,251.log
C0,C,0,G,59597,59596,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
C0,C,0,C,59596,59575,0,other,251.log
C0,C,0,C,59596,59575,100,other,251.log
C0,C,0,C,59596,59575,0,other,251.log
C0,C,0,C,59596,59575,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
C1,C,1,G,59599,59598,0,other,251.log
C1,C,1,G,59599,59598,0,other,251.log
C1,C,1,G,59599,59598,0,other,251.log
C1,C,1,G,59599,59598,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
C1,C,1,C,59598,59575,0,other,251.log
C1,C,1,C,59598,59575,100,other,251.log
C1,C,1,C,59598,59575,0,other,251.log
C1,C,1,C,59598,59575,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
C2,C,2,G,59601,59600,0,other,251.log
C2,C,2,G,59601,59600,0,other,251.log
C2,C,2,G,59601,59600,0,other,251.log
C2,C,2,G,59601,59600,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
C2,C,2,C,59600,59575,0,other,251.log
C2,C,2,C,59600,59575,100,other,251.log
C2,C,2,C,59600,59575,0,other,251.log
C2,C,2,C,59600,59575,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
C3,C,3,G,59603,59602,0,other,251.log
C3,C,3,G,59603,59602,0,other,251.log
C3,C,3,G,59603,59602,0,other,251.log
C3,C,3,G,59603,59602,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
C3,C,3,C,59602,59575,0,other,251.log
C3,C,3,C,59602,59575,100,other,251.log
C3,C,3,C,59602,59575,0,other,251.log
C3,C,3,C,59602,59575,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
C4,C,4,G,59605,59604,0,other,251.log
C4,C,4,G,59605,59604,0,other,251.log
C4,C,4,G,59605,59604,0,other,251.log
C4,C,4,G,59605,59604,0,other,251.log
M0,M,0,M,59575,49286,0,other,251.log
C4,C,4,C,59604,59575,0,other,251.log
C4,C,4,C,59604,59575,100,other,251.log
